train_28872, artisinal_mine bare_ground clear conventional_mine habitation partly_cloudy primary road water, artisinal_mine partly_cloudy primary water
train_744, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear habitation primary road
train_25675, bare_ground blooming clear partly_cloudy primary, clear primary road selective_logging
train_1382, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_2467, agriculture bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, agriculture cultivation partly_cloudy primary road
train_10654, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, bare_ground clear primary
train_1170, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear habitation primary road
train_30706, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_811, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear habitation primary
train_313, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary water
train_793, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary road
train_329, bare_ground blooming clear partly_cloudy slash_burn, clear primary road water
train_25328, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary water
train_243, bare_ground blooming clear partly_cloudy primary, clear primary
train_1097, bare_ground blooming blow_down clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, clear primary water
train_25045, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture artisinal_mine clear primary road water
train_3240, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_25334, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, clear primary road selective_logging
train_2074, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, agriculture clear cultivation primary
train_251, bare_ground blooming clear conventional_mine cultivation partly_cloudy slash_burn, clear primary
train_27009, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, artisinal_mine clear primary
train_814, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_282, agriculture artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, partly_cloudy primary
train_255, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear habitation primary road
train_690, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture haze primary road
train_2276, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear cultivation habitation primary water
train_2157, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear cultivation primary
train_1144, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, agriculture clear primary road
train_12174, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, bare_ground blooming clear cultivation primary
train_300, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary
train_1474, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn water, agriculture partly_cloudy primary road
train_879, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture haze primary
train_1009, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear primary road
train_10197, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear
train_11035, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine bare_ground clear primary road water
train_3250, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture haze primary water
train_25257, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary selective_logging slash_burn water, artisinal_mine bare_ground clear habitation primary road water
train_3179, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_4292, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_252, bare_ground blooming clear partly_cloudy primary, clear habitation primary
train_24882, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, haze primary selective_logging
train_3007, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary water
train_2663, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_988, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road
train_1077, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, habitation partly_cloudy primary road
train_11796, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, bare_ground clear primary
train_25785, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn water, blooming clear primary
train_270, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, agriculture clear primary road
train_12225, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn, bare_ground clear primary selective_logging water
train_867, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_4592, bare_ground blooming cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_235, blooming clear partly_cloudy primary, clear primary
train_29975, bare_ground blooming clear cultivation partly_cloudy slash_burn, blooming clear primary
train_2244, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear cultivation habitation primary road
train_24464, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_31330, artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation primary road water, artisinal_mine clear primary water
train_3995, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_2633, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear habitation primary water
train_224, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary
train_10704, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear primary road
train_25837, bare_ground blooming clear partly_cloudy primary, clear primary selective_logging
train_2325, bare_ground blooming clear cultivation habitation primary road selective_logging water, agriculture clear cultivation habitation primary water
train_1368, blooming clear conventional_mine cultivation habitation primary selective_logging slash_burn water, partly_cloudy primary
train_722, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary road water
train_31275, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn water, clear primary selective_logging water
train_31540, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary selective_logging
train_1207, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture partly_cloudy primary road water
train_733, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear primary road
train_1081, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, partly_cloudy water
train_3837, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_242, bare_ground blooming clear partly_cloudy primary, clear primary
train_882, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture partly_cloudy primary
train_232, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary
train_11870, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture bare_ground clear cultivation primary road
train_809, blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road
train_10429, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, bare_ground clear cultivation primary
train_3379, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_1337, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, clear primary selective_logging water
train_1087, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear primary road slash_burn
train_2973, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_29779, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine habitation partly_cloudy road selective_logging water, artisinal_mine clear primary water
train_11933, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture bare_ground clear habitation primary road
train_1250, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, partly_cloudy primary
train_29459, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, blooming clear primary
train_3951, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, cloudy
train_1099, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear primary water
train_11543, agriculture clear habitation partly_cloudy primary water, bare_ground clear habitation primary water
train_3543, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture haze primary water
train_25744, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, blooming clear primary
train_30719, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, artisinal_mine clear primary water
train_3077, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_344, blooming clear primary, clear primary
train_1234, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear cultivation habitation primary road
train_1244, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary water
train_3463, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture haze road
train_28509, artisinal_mine bare_ground blooming clear cloudy conventional_mine habitation partly_cloudy road water, artisinal_mine clear primary water
train_28973, artisinal_mine bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, artisinal_mine clear conventional_mine primary road water
train_872, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear primary road water
train_1131, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, partly_cloudy primary
train_3815, cloudy habitation haze partly_cloudy primary road water, cloudy
train_3397, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, haze primary
train_1186, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_728, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road slash_burn
train_3365, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, haze primary
train_30837, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary water
train_3501, blooming blow_down clear cultivation habitation primary road selective_logging, habitation haze primary water
train_2469, blooming blow_down clear cultivation habitation primary road selective_logging, agriculture cultivation partly_cloudy primary
train_25836, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary selective_logging
train_1102, blooming clear cultivation habitation partly_cloudy primary selective_logging water, agriculture clear habitation primary road
train_720, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, agriculture clear cultivation habitation primary
train_883, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear primary
train_2497, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture cultivation partly_cloudy primary road
train_1290, bare_ground blooming clear haze partly_cloudy, clear primary water
train_29941, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear habitation primary road water
train_3534, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_318, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn water, clear primary
train_27257, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_29265, bare_ground blooming clear conventional_mine cultivation partly_cloudy slash_burn, clear primary selective_logging
train_2502, blooming clear partly_cloudy primary, agriculture clear cultivation primary slash_burn
train_29228, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture blooming clear primary
train_369, bare_ground blooming blow_down clear cloudy conventional_mine cultivation haze partly_cloudy slash_burn, agriculture clear cultivation habitation primary
train_1135, bare_ground blooming clear cloudy conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, clear primary water
train_27487, bare_ground blooming clear haze partly_cloudy, blooming clear primary
train_30267, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture artisinal_mine partly_cloudy primary water
train_857, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary
train_4003, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_345, bare_ground blooming clear haze partly_cloudy slash_burn, agriculture clear primary
train_2322, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary water
train_10474, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground haze primary water
train_11772, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear habitation primary road
train_227, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary
train_26361, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, blooming clear primary
train_1453, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_3171, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_2321, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture cultivation partly_cloudy primary road
train_1401, blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation habitation primary road water
train_1098, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture clear habitation primary road water
train_1243, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary water
train_11277, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, bare_ground clear primary road selective_logging
train_237, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary road water
train_1093, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary road
train_4133, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_3168, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_2532, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear habitation primary road
train_2470, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture habitation haze primary
train_32245, bare_ground blooming clear conventional_mine cultivation partly_cloudy slash_burn, blooming clear primary
train_841, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary
train_11752, blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture bare_ground clear cultivation primary
train_4007, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_11695, bare_ground blooming clear cultivation partly_cloudy slash_burn, bare_ground clear primary
train_27589, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_11536, artisinal_mine bare_ground blooming clear cloudy conventional_mine habitation partly_cloudy primary road water, artisinal_mine bare_ground clear road water
train_31172, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, artisinal_mine clear primary water
train_32149, blooming blow_down clear cultivation habitation primary road selective_logging, blooming clear primary
train_1080, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary water
train_726, artisinal_mine bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary water
train_3515, blooming blow_down clear cultivation habitation primary selective_logging, cultivation haze primary
train_4127, artisinal_mine bare_ground blooming cloudy conventional_mine habitation haze partly_cloudy road water, cloudy
train_29482, bare_ground blooming blow_down clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, agriculture blooming clear cultivation primary
train_2710, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear habitation road
train_804, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road
train_3849, blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_10931, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear
train_4214, blooming cloudy, cloudy
train_24712, bare_ground blooming clear cultivation partly_cloudy, clear primary road selective_logging
train_4256, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_4438, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_3235, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture haze road
train_2142, bare_ground blooming blow_down clear partly_cloudy primary slash_burn, clear cultivation primary
train_753, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary
train_4362, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_1226, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, partly_cloudy primary
train_1338, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary water
train_10866, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear primary water
train_2425, blooming clear cultivation slash_burn, agriculture clear habitation primary road
train_1061, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road water
train_2987, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_756, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture cultivation habitation partly_cloudy primary road
train_3129, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary
train_3223, bare_ground blooming blow_down cloudy cultivation habitation haze partly_cloudy primary road selective_logging, haze primary
train_2429, blooming clear partly_cloudy primary, agriculture clear cultivation primary road
train_1320, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture haze primary water
train_25829, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary road selective_logging
train_29963, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, artisinal_mine clear primary water
train_1014, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture partly_cloudy primary road
train_29600, bare_ground blooming clear partly_cloudy primary slash_burn, clear primary road selective_logging
train_3481, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture haze primary road
train_1125, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, partly_cloudy primary
train_10309, artisinal_mine bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear primary
train_339, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn, clear primary
train_3440, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture cultivation haze primary
train_763, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary water
train_221, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear primary
train_378, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary
train_28844, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy slash_burn, blooming clear primary
train_25934, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear primary road water
train_327, blooming clear partly_cloudy primary, clear primary
train_4448, bare_ground blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_28019, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, artisinal_mine clear primary road water
train_1105, clear habitation primary road water, partly_cloudy primary
train_30086, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear primary road selective_logging
train_25738, blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, blooming clear primary water
train_1032, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road
train_24877, artisinal_mine bare_ground blooming clear cloudy conventional_mine habitation partly_cloudy road water, artisinal_mine clear water
train_317, bare_ground blooming clear partly_cloudy primary, clear primary
train_38750, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, agriculture clear cultivation primary slash_burn
train_28758, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, artisinal_mine clear primary water
train_1130, bare_ground blooming clear haze partly_cloudy primary, agriculture clear habitation primary road water
train_1444, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary water
train_816, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary
train_26686, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, blooming clear primary
train_1398, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture partly_cloudy primary road
train_28778, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine bare_ground clear primary
train_859, artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation partly_cloudy primary road water, agriculture clear primary road
train_27314, bare_ground blooming blow_down clear haze partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_25100, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn, clear primary selective_logging
train_10888, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, bare_ground clear habitation primary road water
train_4077, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_289, bare_ground blooming clear partly_cloudy primary, clear primary
train_3019, bare_ground blooming blow_down clear cultivation habitation primary selective_logging, agriculture clear habitation primary
train_30203, agriculture artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary road water
train_30011, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary selective_logging
train_31556, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, artisinal_mine clear habitation primary water
train_12589, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture bare_ground clear cultivation primary slash_burn
train_28930, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_12578, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, bare_ground partly_cloudy primary road
train_12283, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear
train_4372, blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_281, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear primary selective_logging
train_1223, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, bare_ground clear primary road water
train_350, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear primary road
train_2384, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary road water
train_1442, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, partly_cloudy primary
train_11646, blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture bare_ground clear cultivation primary
train_1302, agriculture artisinal_mine bare_ground blooming blow_down conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary
train_3424, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary water
train_1312, bare_ground blooming clear partly_cloudy primary, partly_cloudy primary
train_274, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary road water
train_2698, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture clear habitation road
train_30877, bare_ground blooming clear cultivation partly_cloudy slash_burn, blooming clear primary
train_28408, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_1185, blooming blow_down clear cultivation primary selective_logging slash_burn, clear primary water
train_1465, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road slash_burn water
train_4205, blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging, cloudy
train_1095, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture partly_cloudy primary
train_278, bare_ground blooming clear cultivation haze partly_cloudy slash_burn, clear primary
train_2044, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary
train_301, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture clear primary road water
train_3461, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, cultivation haze primary
train_2374, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, agriculture clear cultivation primary road
train_3564, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture haze primary
